,link,Company Name,LinkedIn Url
0,https://finder.startupnationcentral.org/company_page/0-10-of-a-second,0.10 of a Second,
1,https://finder.startupnationcentral.org/company_page/1-2-trip,1-2 Trip,
2,https://finder.startupnationcentral.org/company_page/10beats,10beats,https://www.linkedin.com/company/3237850
3,https://finder.startupnationcentral.org/company_page/12-wizards,12 Wizards,https://www.linkedin.com/company/12wizards
4,https://finder.startupnationcentral.org/company_page/121-mobile,121 Mobile,https://www.linkedin.com/company/5297792
5,https://finder.startupnationcentral.org/company_page/12mass,12mass,https://www.linkedin.com/company/2862048
6,https://finder.startupnationcentral.org/company_page/12trix,12trix,https://www.linkedin.com/company/5184282
7,https://finder.startupnationcentral.org/company_page/142,142,
8,https://finder.startupnationcentral.org/company_page/cinedit,1702ai,https://www.linkedin.com/company/35559878
9,https://finder.startupnationcentral.org/company_page/1decision,1Decision,
10,https://finder.startupnationcentral.org/company_page/1e-therapeutics,1E Therapeutics,https://www.linkedin.com/company/72749387
11,https://finder.startupnationcentral.org/company_page/1item,1item,https://www.linkedin.com/company/2970413
12,https://finder.startupnationcentral.org/company_page/1mrobotics,1MRobotics,https://www.linkedin.com/company/1mrobotics/
13,https://finder.startupnationcentral.org/company_page/onenet,1net.me,https://www.linkedin.com/company/2890130
14,https://finder.startupnationcentral.org/company_page/1touch-io,1touch.io,https://www.linkedin.com/company/18546264/
15,https://finder.startupnationcentral.org/company_page/2-drops,2 Drops,https://www.linkedin.com/company/13235497/
16,https://finder.startupnationcentral.org/company_page/24me,24me,https://www.linkedin.com/company/2563670
17,https://finder.startupnationcentral.org/company_page/mitos-medical,270Surgical,https://www.linkedin.com/company/12611453/
18,https://finder.startupnationcentral.org/company_page/282productions,282Productions,https://www.linkedin.com/company/27035312/
19,https://finder.startupnationcentral.org/company_page/2bprecise,2bPrecise,https://www.linkedin.com/company/15143212/
20,https://finder.startupnationcentral.org/company_page/2breathe-technologies,2breathe Technologies,https://www.linkedin.com/company/132572
21,https://finder.startupnationcentral.org/company_page/2care,2Care,
22,https://finder.startupnationcentral.org/company_page/2find,2Find,
23,https://finder.startupnationcentral.org/company_page/2p2d-solutions,2P2D Solutions,
24,https://finder.startupnationcentral.org/company_page/2sens,2Sens,https://www.linkedin.com/company/10588794
25,https://finder.startupnationcentral.org/company_page/2tangos,2Tangos,
26,https://finder.startupnationcentral.org/company_page/2team,2TeaM,https://www.linkedin.com/company/2815931
27,https://finder.startupnationcentral.org/company_page/2track,2Track,https://www.linkedin.com/company/10450582
28,https://finder.startupnationcentral.org/company_page/360in1,360in1,https://www.linkedin.com/company/1413167
29,https://finder.startupnationcentral.org/company_page/3chron,3chron,https://www.linkedin.com/company/71562216
30,https://finder.startupnationcentral.org/company_page/3d-green,3D Green,https://www.linkedin.com/company/73915350/
31,https://finder.startupnationcentral.org/company_page/3d-mtp,3D MTP,https://www.linkedin.com/company/1624808
32,https://finder.startupnationcentral.org/company_page/3dsignals,3d Signals,https://www.linkedin.com/company/10317278
33,https://finder.startupnationcentral.org/company_page/3dsil,3D SIL,
34,https://finder.startupnationcentral.org/company_page/3d-painter,3D-pAinter,
35,https://finder.startupnationcentral.org/company_page/3d3r-software-studio,3D3R Software Studio,
36,https://finder.startupnationcentral.org/company_page/3d-battery,3DBattery,https://www.linkedin.com/company/11390151/
37,https://finder.startupnationcentral.org/company_page/3dcom,3DCOM,https://www.linkedin.com/company/71566812
38,https://finder.startupnationcentral.org/company_page/3dentax,3DentaX,
39,https://finder.startupnationcentral.org/company_page/3dfy,3Dfy.ai,https://www.linkedin.com/company/28826720
40,https://finder.startupnationcentral.org/company_page/3dm-digital-manufacturing,3DM Digital Manufacturing,
41,https://finder.startupnationcentral.org/company_page/3dome,3Dome,
42,https://finder.startupnationcentral.org/company_page/optomechanic-cube,3DOptix,https://www.linkedin.com/company/18406718
43,https://finder.startupnationcentral.org/company_page/3dsellers,3Dsellers,https://www.linkedin.com/company/1559246
44,https://finder.startupnationcentral.org/company_page/3dshook,3DSHOOK,https://www.linkedin.com/company/4860553
45,https://finder.startupnationcentral.org/company_page/3gsolar-photovoltaics-lts,3GSolar Photovoltaics,https://www.linkedin.com/company/1566858/
46,https://finder.startupnationcentral.org/company_page/3lawgy,3lawgy,https://www.linkedin.com/company/18898568
47,https://finder.startupnationcentral.org/company_page/3minpro,3MinPro,https://www.linkedin.com/company/12904014
48,https://finder.startupnationcentral.org/company_page/3nt-medical-ltd,3NT Medical,https://www.linkedin.com/company/18209947/
49,https://finder.startupnationcentral.org/company_page/3pems,3PEMS,
