logic,zip
Doctor Address.1,None
"1610 COMMONS CIRCLE ,ARGYLE","Lantana, TX 76226, USA"
"US HIGHWAY 666 N ,SHIPROCK","Shiprock, NM 87420, USA"
"11167 1/2 LA QUINTA PLACE ,EL PASO","11167 La Quinta Pl, El Paso, TX 79936, USA"
"1 INDEPENDENCE SQUARE SUITE 1D,BUTLER",None
"3 AVE FONT MARTELO ,HUMACAO","Humacao, 00791, Puerto Rico"
"11600 SOUTHEAST FEDERAL HIGHWAY ,HOBE SOUND","11600 SE Federal Hwy, Hobe Sound, FL 33455, USA"
"417 SOUTH 2ND STREET ,GREYBULL",None
"721 SOUTH AUBURN ,KENNEWICK","Kennewick, WA 99336, USA"
"11399 LAKE UNDERHILL ROAD ,ORLANDO","Orlando, FL 32825, USA"
"9 PROFESSIONAL CIRCLE SUITE 212,COLTS NECK","Colts Neck, NJ 077222426, USA"
"8803 SOUTH 101 E AVENUE SUITE 275,TULSA","Tulsa, OK 74133, USA"
"17471 WHEELER ROAD SUITE 112,WESTFIELD","Westfield, IN 46074, USA"
"301 FLYNN DRIVE ,MILBANK","Milbank, SD 57252, USA"
"3500 CENTRAL AVENUE SUITE A,KEARNEY",None
"430 MORRIS AVENUE ,ELIZABETH","Elizabeth, NJ 07208, USA"
"510 NORTH GREEN STREET ,VALENTINE","Valentine, NE 69201, USA"
"201 NORTH EDISON STREET SUITE 236,KENNEWICK","Kennewick, WA 99336, USA"
"40 VILLAGE GREEN DRIVE ,SWEDESBORO","Woolwich Township, NJ 08085, USA"
"1706 WEST 12TH STREET ,LAUREL","Laurel, MS 39440, USA"
"6056 BOYNTON BEACH BOULEVARD SUITE 145,BOYNTON BEACH","Boynton Beach, FL 33437, USA"
"314 MAIN STREET SUITE B,MONTICELLO",None
"650 BROADWAY AVENUE S ,BUHL","Buhl, ID 83316, USA"
"17301 EAST SPRING VALLEY ROAD SUITE F,MAYER","Mayer, AZ 86333, USA"
"6240 TACOMA MALL BOULEVARD SUITE 101,TACOMA","Tacoma, WA 98409, USA"
"13250 NORTH 56TH STREET SUITE 101,TEMPLE TERRACE","Temple Terrace, FL 33617, USA"
"1340 MEDICAL PARK DRIVE SUITE 7,MAYSVILLE","Maysville, KY 41056, USA"
"300 HEALTH PARK BOULEVARD SUITE 1006,SAINT AUGUSTINE","St. Augustine, FL 32086, USA"
"8800 TERRENE COURT SUITE 103,BONITA SPRINGS","Bonita Springs, FL 34135, USA"
"13642 WEST HILLSBOROUGH AVENUE ,TAMPA","Tampa, FL 33635, USA"
"1600 WEST DEMPSTER STREET SUITE 120,PARK RIDGE","Park Ridge, IL 60068, USA"
"2260 PALM BEACH LAKES BOULEVARD ,WEST PALM BEACH","West Palm Beach, FL 33409, USA"
"9500 EAST IRONWOOD SQ DRIVE SUITE 125,SCOTTSDALE","Scottsdale, AZ 85258, USA"
"23400 EAST SMOKY HILL ROAD SUITE 120,AURORA","Aurora, CO 80016, USA"
"10125 WEST COLONIAL DRIVE SUITE 206,OCOEE","Ocoee, FL 34761, USA"
"1118 GULF BREEZE PARKWAY SUITE 201,GULF BREEZE","Gulf Breeze, FL 32561, USA"
"3131 HASSI POINT ,LONGWOOD","Longwood, FL 32779, USA"
"1738 WYNKOOP STREET SUITE 303,DENVER","Denver, CO 80202, USA"
"3830 NORTH 167TH COURT ,OMAHA","Omaha, NE 68116, USA"
"1600 WEST COLLEGE SUITE 540,GRAPEVINE","Grapevine, TX 76051, USA"
"9097 EAST DESERT COVE AVENUE SUITE 100,SCOTTSDALE","Scottsdale, AZ 85260, USA"
"21 TAMAL VISTA BOULEVARD SUITE 100,CORTE MADERA","Corte Madera, CA 94925, USA"
"1641 EAST FLAMINGO ROAD SUITE 11,LAS VEGAS","Las Vegas, NV 89119, USA"
"303 SOUTHEAST 4TH STREET ,MOORE","Moore, OK 73160, USA"
"350 TERRACINA BOULEVARD ,REDLANDS","Redlands, CA 92373, USA"
"140 CENTRAL AVENUE SUITE 300,CLARK","Clark, NJ 07066, USA"
"55 WEST PASSAIC AVENUE ,BLOOMFIELD","Bloomfield, NJ 07003, USA"
"435 GRAND AVENUE ,SOUTH SAN FRANCISCO","South San Francisco, CA 94080, USA"
"837 NORTH EDGEWOOD AVENUE ,JACKSONVILLE","Jacksonville, FL 32254, USA"
"705 NORTH SIOUX POINT ROAD SUITE 100,NORTH SIOUX CITY","North Sioux City, SD 57049, USA"
"4555 EAST INVERNESS AVENUE BUILDING 3,MESA","Mesa, AZ 85206, USA"
"1816 BAY SCOTT CIRCLE SUITE 112,NAPERVILLE","Naperville, IL 60540, USA"
"5331 WEST 79TH STREET ,BURBANK","Burbank, IL 60459, USA"
"4760 EAST GERMANN ROAD ,GILBERT","Mesa, AZ 85212, USA"
"14-20 WATSESSING AVENUE ,BLOOMFIELD","Bloomfield, NJ 07003, USA"
"721 CLIFTON AVENUE SUITE 1A,CLIFTON","Clifton, NJ 07013, USA"
"1914 UNIVERSITY AVENUE ,OXFORD","Oxford, MS 38655, USA"
"506 LITTLE CREEK ROAD ,SHERIDAN","Sheridan, AR 72150, USA"
"6250 NORTH RIVER ROAD SUITE 9000,ROSEMONT","Rosemont, IL 60018, USA"
"2401 41ST STREET S SUITE 101,FARGO","Fargo, ND 58104, USA"
"378 SOUTH BRANCH ROAD SUITE 301,HILLSBOROUGH","Hillsborough Township, NJ 08844, USA"
"259 EAST 49TH STREET ,HIALEAH","Hialeah, FL 33013, USA"
